Tipo;Quantidade
;
Acompanhamento de ação judicial;1
Atendimento a solicitações;92
Atendimento de requisições, ordens judiciais ou administrativas;3
DER: FAIXA - Autorização de ocupação da faixa de domínio;7
Declaração de Área Confrontante com Faixa de Domínio;1
Processo de Alienação de Imóvel;2
Processo de Contratação de Serviço Técnico Profissional Especializado;1
Processo de Contratação de Serviço Técnico Profissional Generalizado;1
Processo de aquisição de imóvel;2
Processo de cessão de uso de imóvel;2
Processo de contratação de obra pública;57
Processo de elaboração de ato normativo;3
Processo de formalização e execução de acordo bilateral;2
Processo de permissão de uso de imóvel;1
Processo de transferência de imóvel;8
TOTAL:;183
