Tipo;Quantidade
;
Acompanhamento de ação judicial;1
Atendimento a solicitações;117
Atendimento de requisições, ordens judiciais ou administrativas;3
DER: FAIXA - Autorização de ocupação da faixa de domínio;8
Declaração de Área Confrontante com Faixa de Domínio;1
Processo de Alienação de Imóvel;2
Processo de Contratação de Serviço Técnico Profissional Especializado;2
Processo de Contratação de Serviço Técnico Profissional Generalizado;1
Processo de aquisição de imóvel;5
Processo de cessão de uso de imóvel;2
Processo de contratação de obra pública;61
Processo de elaboração de Resolução;1
Processo de elaboração de ato normativo;3
Processo de formalização e execução de acordo bilateral;2
Processo de permissão de uso de imóvel;1
Processo de transferência de imóvel;10
Solicitação de orientação técnica;1
TOTAL:;221
