Tipo;Tempo Médio
;
Acompanhamento de ação judicial;5d 23h 18m 11s
Atendimento a solicitações;14d 15h 20m 54s
Atendimento de requisições, ordens judiciais ou administrativas;3d 16h 52m 24s
DER: FAIXA - Autorização de ocupação da faixa de domínio;5d 14h 6m 54s
Declaração de Área Confrontante com Faixa de Domínio;1d 17h 49m 7s
Processo de Alienação de Imóvel;9d 17h 6m 22s
Processo de Contratação de Serviço Técnico Profissional Especializado;24d 1h 20m 9s
Processo de Contratação de Serviço Técnico Profissional Generalizado;3d 4h 10m 11s
Processo de aquisição de imóvel;65d 10h 3m 51s
Processo de cessão de uso de imóvel;2d 13h 29m 27s
Processo de contratação de obra pública;3d 10h 12m 46s
Processo de elaboração de Resolução;19d 6h 34m 4s
Processo de elaboração de ato normativo;10d 34m 48s
Processo de formalização e execução de acordo bilateral;9h 52m 53s
Processo de permissão de uso de imóvel;3d 4h 25m 29s
Processo de transferência de imóvel;28d 4h 2m 31s
Solicitação de orientação técnica;101d 8h 57m 36s
GERAL:;17d 18h 57m 30s
