Tipo;Tempo Médio
;
Atendimento a solicitações;25d 15h 55m 35s
Atendimento de pedido de informações;12d 19h 38m 27s
Atendimento de requisições, ordens judiciais ou administrativas;40d 17h 32m 17s
Atualização do Cadastro da Malha Rodoviária Estadual;11d 17h 32m 28s
DER: FAIXA - Autorização de ocupação da faixa de domínio;6d 11h 15m 10s
DER: FAIXA - Ocupação da faixa de domínio;9d 21h 28m 11s
DER: PAINÉIS - Credenciamento para exploração anúncios;5d 9h 3m 27s
DER: PROTOCOLO SEDE - Peticionamento SEI;6d 11h 11m 40s
Processo de Autorização de Acesso e Disponibilidade de Dados;35d 11h 37m 46s
Processo de Contratação de Serviço Técnico Profissional Especializado;40d 17h 32m 17s
Processo de Contratação de Serviços Terceirizados;13d 20h 6m 47s
Processo de autorização de ocupação da faixa de domínio.;18d 4h 38m 49s
Processo de autorização para funcionário ou servidor dirigir veículo oficial;9m 10s
Processo de autorização para ocupação de área não edificante;1d 6h 18m 6s
Processo de capacitação de recursos humanos;11d 23h 31m 10s
Processo de contratação de obra pública;8d 13h 20m 53s
Processo de elaboração de Portaria;21h 52m 44s
Processo de elaboração de projeto e estudo de tráfego, operação e segurança rodoviária;40d 17h 32m 17s
Processo de elaboração e execução de plano, programa ou projeto;40d 17h 32m 17s
Processo de formalização e execução de acordo bilateral;40d 17h 32m 17s
Solicitação de orientação técnica;40d 17h 32m 17s
Termo de cooperação;3d 11m 16s
GERAL:;18d 21h 52m 3s
