Tipo;Quantidade
;
Acompanhamento de ação judicial;1
Atendimento a solicitações;191
Atendimento de pedido de informações;9
Atendimento de requisições, ordens judiciais ou administrativas;15
Atualização do Cadastro da Malha Rodoviária Estadual;1
Contrato;1
DER: ASSESSORIA PARLAMENTAR - Demandas Parlamentares;1
DER: FAIXA - Autorização de ocupação da faixa de domínio;71
DER: PAINÉIS - Credenciamento para exploração anúncios;1
DER: PROTOCOLO REGIONAIS - Peticionamento SEI;1
DER: PROTOCOLO SEDE - Peticionamento SEI;1
DETRAN Fiscalização: Recurso JARI e CETRAN multa DETRAN;1
Declaração de Área Confrontante com Faixa de Domínio;2
Processo de Alienação de Imóvel;2
Processo de Autorização de Acesso e Disponibilidade de Dados;6
Processo de Contratação de Serviço Técnico Profissional Especializado;9
Processo de Contratação de Serviços Terceirizados;3
Processo de aquisição de imóvel;8
Processo de autorização de curso;1
Processo de autorização de ocupação da faixa de domínio.;3
Processo de cessão de uso de imóvel;1
Processo de concessão de licença-maternidade;1
Processo de contratação de obra pública;166
Processo de contratação de serviços diversos;1
Processo de elaboração de Portaria;2
Processo de elaboração de Resolução;1
Processo de elaboração de ato normativo;5
Processo de elaboração de projeto e estudo de tráfego, operação e segurança rodoviária;3
Processo de elaboração e execução de plano, programa ou projeto;2
Processo de elaboração ou atualização de manual técnico, de procedimentos ou do usuário;2
Processo de estudo de reequilíbrio econômico-financeiro;1
Processo de formalização e execução de acordo bilateral;3
Processo de formalização e execução de convênio de cooperação técnica;1
Processo de pagamento de impostos e taxas;1
Processo de transferência de imóvel;10
Solicitação de orientação técnica;4
TOTAL:;532
